name,status,url,title,channel,duration_s,note
Machine Leg Extension,matched,https://youtu.be/4ZDm5EbiFI8,How To Do A Leg Extension,PureGym,14.0,
Cable Seated Row,matched,https://youtu.be/lJoozxC0Rns,How To Do A Seated Cable Row,PureGym,16.0,
Walking,no_match,,,,,
Machine Fly,matched,https://youtu.be/eGjt4lk6g34,How To Use The Chest Fly Machine,PureGym,16.0,
Machine Leg Press,matched,https://youtu.be/dhRz1Ns60Zg,How To Do Calf Raises On The Leg Press,PureGym,14.0,same video used for several exercises
Dumbbell Seated Shoulder Press,matched,https://youtu.be/SSXS4Z8OkCg,Seated Dumbbell Shoulder Press: Demonstration,StrengthLog,18.0,
Barbell Squat,matched,https://youtu.be/rrJIyZGlK8c,How To Do A Barbell Back Squat,PureGym,24.0,same video used for several exercises
Machine Seated Leg Curl,no_match,,,,,
Machine Shoulder Press,matched,https://youtu.be/GcY6TZxfS0k,How To Use The Shoulder Press Machine,PureGym,11.0,same video used for several exercises
Running,matched,https://youtu.be/v7o4xzeMri4,Running shorts without liner | PATH projects,Path Projects,13.0,
Machine Hip Abduction,matched,https://youtu.be/rPw4YiGiCvE,Axiom Series Dual Hip Abduction | Life Fitness,Life FitnessTraining,19.0,
Pull-Up,matched,https://youtu.be/VBTeVnPGkzE,HORIZONTAL PULL UP,Atomic Athlete,23.0,
Dumbbell One-Arm Row,matched,https://youtu.be/tDgQx0W1JP0,One arm dumbbell row (without bench),lepfitness n.s.,20.0,same video used for several exercises
Cable Tricep Pushdown (V-Bar),matched,https://youtu.be/6Fzep104f0s,Cable Triceps Pushdown,Renaissance Periodization,13.0,
Machine Leg Curl (Prone),no_match,,,,,
Barbell Deadlift,matched,https://youtu.be/yPqv3ejnZvc,How to do a Barbell Deadlift,National Academy of Sports Medicine (NASM),16.0,
Machine Reverse Fly,matched,https://youtu.be/ZZTf3KsL9WE,Reverse Fly Machine,Evolve Fitness,11.0,
Cable Lateral Raise,matched,https://youtu.be/Z5FA9aq3L6A,How To Do Cable Lateral Raises,PureGym,15.0,
Dumbbell Incline Curl,matched,https://youtu.be/aG7CXiKxepw,Incline Dumbbell Curl - OPEX Exercise Library,OPEX Fitness,16.0,
Machine Hip Adduction,matched,https://youtu.be/36EB4I915sU,Hammer Strength Select Hip Adduction,Hammer Strength,19.0,
Machine Seated Row,matched,https://youtu.be/Krq1dakeC-U,Seated Row Machine Row,OPEX Fitness,13.0,
Stability Ball Cross-Leg Crunch,no_match,,,,,
Dumbbell Single-Leg Fly (Stability Ball,no_match,,,,,
Stability Ball Quadricep Stretch,matched,https://youtu.be/rqNnfP6h6Pw,Flexibility - Quadricep (Thigh) Stretch with Stability Ball,iexerciseOfficial,25.0,
Stability Ball Back Stretch (Prone),no_match,,,,,
Stability Ball Side Stretch,no_match,,,,,
Dumbbell Incline One-Arm Press (Stability Ball),matched,https://youtu.be/631PCvXjU0Q,Bach Performance: One arm incline dumbbell Press,Eric Bach,28.0,same video used for several exercises
Barbell Snatch from Blocks,matched,https://youtu.be/NljsORR2mg0,Barbell Snatch From Blocks 2,Workouth,8.0,
Dumbbell Alternating Arnold Press (Stability Ball),matched,https://youtu.be/5UqZyJE4Gq8,"Alternating Dumbbell Arnold Press - Shoulder, Deltoid Exercise Workout",Brett Ferguson,21.0,
Push-Up to Box Jump,matched,https://youtu.be/tdGg4_rahls,Box Push Up Jump and Stick,GaglioneStrength,15.0,
Medicine Ball Decline One-Arm Overhead Throw,no_match,,,,,
Stability Ball Half Moon Stretch,no_match,,,,,
Stability Ball Side Bend,matched,https://youtu.be/L3HZjW4oRrU,Side Bend on stability ball,Gym visual,7.0,
Stability Ball Lat Stretch (Side lying),matched,https://youtu.be/rJZ40e_EXV4,Stability Ball Lat Stretch,James Kohler,22.0,
Stability Ball Hug,matched,https://youtu.be/qQdPwRnY8bg,Exercise ball hugs,OrthoSport HQ,19.0,
Bodyweight Sumo Squat,matched,https://youtu.be/jd8M2Vg05co,Sumo Squats | Bodyweight exercises,Mark Lauren,9.0,
Machine Bench Press,matched,https://youtu.be/O5viuEPDXKY,Smith Machine Bench Press,Renaissance Periodization,12.0,same video used for several exercises
Machine Ab Crunch,matched,https://youtu.be/W3CaxnLWzrg,Oblique Ab Crunch Machine,Chelsea Von Grat,12.0,
Plank,matched,https://youtu.be/3QZlgJ40LfU,Demonstration of a Forearm Plank,Hospital for Special Surgery,24.0,
Cable Bicep Curl,matched,https://youtu.be/bwGouvrXUD4,Exercise Tutorial - Unilateral Cable Bicep Curl,josh cowan,19.0,same video used for several exercises
Machine Seated Calf Raise,matched,https://youtu.be/2Q-HQ3mnePg,Seated Calf Raise Machine,OPEX Fitness,13.0,
Machine Calf Raise,matched,https://youtu.be/dhRz1Ns60Zg,How To Do Calf Raises On The Leg Press,PureGym,14.0,same video used for several exercises
Back Hyperextension,no_match,,,,,
Dumbbell Fly,matched,https://youtu.be/bgC53-J-6gA,How To Do A Dumbbell Floor Fly,PureGym,11.0,same video used for several exercises
Machine Lat Pulldown,matched,https://youtu.be/JGeRYIZdojU,How To Do A Lat Pulldown,PureGym,14.0,same video used for several exercises
Preacher Curl Machine,matched,https://youtu.be/Ja6ZlIDONac,Machine Preacher Curl,Renaissance Periodization,17.0,
Dumbbell Tricep Extension,no_match,,,,,
Dumbbell Shoulder Shrug,matched,https://youtu.be/yX5epCTa6mg,Dumbbell Shoulder Shrugs,Just Go Fitness,12.0,
Dumbbell Bulgarian Split Squat,matched,https://youtu.be/Fmjj7wFJWRE,Bulgarian Split Squat with Dumbbells,The Active Life,20.0,
Machine Incline Chest Press,matched,https://youtu.be/xqtmaivPMiw,HOW TO USE GYM MACHINES: Incline Chest Press,Gymleco,28.0,
EZ Bar Curl,matched,https://youtu.be/-gSM-kqNlUw,EZ Bar Curl - OPEX Exercise Library,OPEX Fitness,13.0,
Treadmill Running,no_match,,,,,
Road Cycling,no_match,,,,,
Calf Press On Leg Press,matched,https://youtu.be/dhRz1Ns60Zg,How To Do Calf Raises On The Leg Press,PureGym,14.0,same video used for several exercises
Dumbbell Shoulder Press,no_match,,,,,
Cable Cross-Over,matched,https://youtu.be/hhruLxo9yZU,How To Do A High to Low Cable Fly/ Cable Crossover,PureGym,12.0,
Barbell Military Press,matched,https://youtu.be/43GSKivZnw4,How To Do The Military Press,PureGym,23.0,same video used for several exercises
Cable Shoulder Extension,matched,https://youtu.be/5RPVxmxnLRA,How to do a Cable Triceps Extension with Shoulder Flexed,National Academy of Sports Medicine (NASM),23.0,
Elliptical Training,no_match,,,,,
Cable Front Lat Pulldown (Close Grip),no_match,,,,,
Dumbbell Lunge,matched,https://youtu.be/BvnVtpQkrHE,Dumbbell Static Lunge,Dr. Chris Pieton || Pelvic Floor PT,22.0,
Hack Squat,matched,https://youtu.be/rYgNArpwE7E,Hack Squat,Renaissance Periodization,14.0,
Barbell Preacher Curl,matched,https://youtu.be/acLV1OJuZUg,Barbell Preacher Curl - Biceps Workout,brothers strength,28.0,
Dumbbell Calf Raise,matched,https://youtu.be/SRUtMJ0tE2A,Dumbbell Calf Raises Tutorial,IronmasterPro,29.0,same video used for several exercises
